Issuing Organization,Micro-credential Stack Name,Micro-credential Name,Competency Statement (Description),Badge Image Link (Badgr),Direct Link to MC on the platform,MC ID #,Audience,Education Standard,Topics
Actively Learn,Support Thinking for Deeper Learning,Scaffolding Challenging Texts for Growing Readers, Educator effectively scaffolds challenging text in a way that makes it accessible to students while still furthering their growth as independent readers. ,https://media.badgr.io/uploads/badges/9cc6b2a6-5835-4df1-b227-58426ccaf165.png,https://microcredentials.digitalpromise.org/explore/scaffolding-challenging-texts-for-growing-readers,YKBN93,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Reveal Thinking for Deeper Learning,Formative Assessment for Deeper Learning, Educator effectively reveals student thinking to assess whether learning goals are being met and adjusts instruction based on the assessment. ,https://media.badgr.io/uploads/badges/019f04e1-ecbe-4b12-a859-52037944b109.png,https://microcredentials.digitalpromise.org/explore/formative-assessment-for-deeper-learning,9ZPLJ8,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Reveal Thinking for Deeper Learning,Feedback for Deeper Learning, Educator effectively delivers feedback that guides student thinking and encourages metacognition. ,https://media.badgr.io/uploads/badges/ebfa6dc4-28a8-40f5-a810-e1f0594c74e2.png,https://microcredentials.digitalpromise.org/explore/feedback-for-deeper-learning,741W9R,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Activate Thinking for Deeper Learning,Facilitating Collaborative Discussion, Educator effectively facilitates discussion to promote critical thinking and academic discourse. ,https://media.badgr.io/uploads/badges/b218f590-2745-4dff-82fa-42e7cda969ec.png,https://microcredentials.digitalpromise.org/explore/facilitating-collaborative-discussion,VT6KC8,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Reveal Thinking for Deeper Learning,Eliciting Metacognition while Reading, Educator effectively elicits metacognition from students to raise self-awareness of knowledge and learning. ,https://media.badgr.io/uploads/badges/be379091-3bab-4611-8fb0-ccf4ebeebba7.png,https://microcredentials.digitalpromise.org/explore/eliciting-metacognition-while-reading,QBJURV,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Support Thinking for Deeper Learning,Creating Text Sets for Deeper Learning, Educator effectively sequences and groups texts to build knowledge and engagement. ,https://media.badgr.io/uploads/badges/dfaf768d-de27-49af-b8a4-e383c22e49a2.png,https://microcredentials.digitalpromise.org/explore/creating-text-sets-for-deeper-learning,367AC8,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Support Thinking for Deeper Learning,Building Vocabulary for Understanding and Transfer, Educator effectively builds knowledge of new words for understanding and transfer. ,https://media.badgr.io/uploads/badges/4264ff43-cac2-46fc-9ed0-d0e065fa687d.png,https://microcredentials.digitalpromise.org/explore/building-vocabulary-for-understanding-and-transfer,UYL0DV,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Activate Thinking for Deeper Learning,Asking Questions for Deeper Learning from Text, Educator effectively asks questions that deepen student learning and engagement in text. ,https://media.badgr.io/uploads/badges/175214f6-c27b-4ba2-aa7c-210e4bfb2e3d.png,https://microcredentials.digitalpromise.org/explore/asking-questions-for-deeper-learning-from-text,JALK3U,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Actively Learn,Literacy Strategies for Deeper Learning,Annotation Strategies for Deeper Learning, Educator teaches effective reading strategies that promote close reading and deeper learning. ,https://media.badgr.io/uploads/badges/81c86388-a67f-42d3-b831-29f6ed635c27.png,https://microcredentials.digitalpromise.org/explore/annotation-strategies-for-deeper-learning,PRQNXL,Classroom Educator,"Learning Forward Subject Matter,Digital Promise Research Map Topic List","Learning Designs & Facilitation,Literacy"
Advocates for Youth,Sexuality Education,Increasing Educator Comfort When Teaching Sexuality Education," Educator demonstrates personal comfort with sexuality by effectively using a values-clarification activity that results in learners reflecting on their own attitudes and beliefs about sexuality issues, which is critical to learners making decisions that align with their values. ",https://media.badgr.io/uploads/badges/a7eed07a-8596-40d3-9118-f34b6d01d36a.png,https://microcredentials.digitalpromise.org/explore/increasing-educator-comfort-when-teaching-sexualit,EXQHNA,Classroom Educator,,"Health,Social Emotional Learning"
